2025-08-11 16:40:07 |     INFO | structformer_training | setup_logging:107 | ✅ Logging setup complete. Logs: logs/dry_full_poincare/training.log
2025-08-11 16:40:07 |    DEBUG | git.util | is_cygwin_git:494 | sys.platform='linux', git_executable='git'
2025-08-11 16:40:07 |    DEBUG | git.cmd | execute:1270 | Popen(['git', 'rev-parse', '--show-toplevel'], cwd=/home/ubuntu/babylm-poincare-structformer, stdin=None, shell=False, universal_newlines=False)
2025-08-11 16:40:07 |    DEBUG | urllib3.connectionpool | _new_conn:1049 | Starting new HTTPS connection (1): api.wandb.ai:443
2025-08-11 16:40:08 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2025-08-11 16:40:08 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2025-08-11 16:40:08 |    DEBUG | git.util | is_cygwin_git:494 | sys.platform='linux', git_executable='git'
2025-08-11 16:40:08 |    DEBUG | git.cmd | execute:1270 | Popen(['git', 'cat-file', '--batch-check'], cwd=/home/ubuntu/babylm-poincare-structformer, stdin=<valid stream>, shell=False, universal_newlines=False)
2025-08-11 16:40:08 |     INFO | utils.logging_utils | setup_wandb:147 | ✅ W&B initialized: structformer-flax/dry-full-poincare
2025-08-11 16:40:08 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X HEAD -H 'Accept: */*' -H 'Accept-Encoding: identity' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: datasets/4.0.0; hf_hub/0.34.4; python/3.10.12; torch/2.8.0; huggingface_hub/0.34.4; pyarrow/21.0.0; jax/0.6.2' https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/main/README.md
2025-08-11 16:40:08 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request a6e4cf0f-5ba7-4cb7-85f8-988396525c3a: HEAD https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/main/README.md (authenticated: True)
