2025-08-11 16:29:48 |     INFO | structformer_training | setup_logging:107 | ✅ Logging setup complete. Logs: logs/dry_structformer_only/training.log
2025-08-11 16:29:48 |    DEBUG | git.util | is_cygwin_git:494 | sys.platform='linux', git_executable='git'
2025-08-11 16:29:48 |    DEBUG | git.cmd | execute:1270 | Popen(['git', 'rev-parse', '--show-toplevel'], cwd=/home/ubuntu/babylm-poincare-structformer, stdin=None, shell=False, universal_newlines=False)
2025-08-11 16:29:48 |    DEBUG | urllib3.connectionpool | _new_conn:1049 | Starting new HTTPS connection (1): api.wandb.ai:443
2025-08-11 16:29:48 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2025-08-11 16:29:48 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2025-08-11 16:29:48 |    DEBUG | git.util | is_cygwin_git:494 | sys.platform='linux', git_executable='git'
2025-08-11 16:29:48 |    DEBUG | git.cmd | execute:1270 | Popen(['git', 'cat-file', '--batch-check'], cwd=/home/ubuntu/babylm-poincare-structformer, stdin=<valid stream>, shell=False, universal_newlines=False)
2025-08-11 16:29:48 |     INFO | utils.logging_utils | setup_wandb:147 | ✅ W&B initialized: structformer-flax/dry-structformer-only
2025-08-11 16:29:48 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X HEAD -H 'Accept: */*' -H 'Accept-Encoding: identity' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: datasets/4.0.0; hf_hub/0.34.4; python/3.10.12; torch/2.8.0; huggingface_hub/0.34.4; pyarrow/21.0.0; jax/0.6.2' https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/main/README.md
2025-08-11 16:29:48 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request 15d0486a-eb5d-4542-a9e2-19048b353d12: HEAD https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/main/README.md (authenticated: True)
2025-08-11 16:29:48 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /datasets/bendemonium/babylm25_bpe_tokens/resolve/main/README.md HTTP/1.1" 200 0
2025-08-11 16:29:48 |    DEBUG | filelock | acquire:331 | Attempting to acquire lock 124798038177104 on /home/ubuntu/.cache/huggingface/hub/.locks/datasets--bendemonium--babylm25_bpe_tokens/ec175be14bdd0047628f6d061da1ef3ea5b48e24.lock
2025-08-11 16:29:48 |    DEBUG | filelock | acquire:334 | Lock 124798038177104 acquired on /home/ubuntu/.cache/huggingface/hub/.locks/datasets--bendemonium--babylm25_bpe_tokens/ec175be14bdd0047628f6d061da1ef3ea5b48e24.lock
2025-08-11 16:29:48 |     INFO | huggingface_hub.file_download | _download_to_tmp_and_move:1714 | Downloading 'README.md' to '/home/ubuntu/.cache/huggingface/hub/datasets--bendemonium--babylm25_bpe_tokens/blobs/ec175be14bdd0047628f6d061da1ef3ea5b48e24.incomplete'
