2025-08-11 02:29:29 |     INFO | structformer_training | setup_logging:107 | ✅ Logging setup complete. Logs: logs/structformer_run/training.log
2025-08-11 02:29:29 |    DEBUG | git.util | is_cygwin_git:494 | sys.platform='linux', git_executable='git'
2025-08-11 02:29:29 |    DEBUG | git.cmd | execute:1270 | Popen(['git', 'rev-parse', '--show-toplevel'], cwd=/home/ubuntu/babylm-poincare-structformer, stdin=None, shell=False, universal_newlines=False)
2025-08-11 02:29:29 |    DEBUG | urllib3.connectionpool | _new_conn:1049 | Starting new HTTPS connection (1): api.wandb.ai:443
2025-08-11 02:29:29 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2025-08-11 02:29:30 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2025-08-11 02:29:30 |    DEBUG | git.util | is_cygwin_git:494 | sys.platform='linux', git_executable='git'
2025-08-11 02:29:30 |    DEBUG | git.cmd | execute:1270 | Popen(['git', 'cat-file', '--batch-check'], cwd=/home/ubuntu/babylm-poincare-structformer, stdin=<valid stream>, shell=False, universal_newlines=False)
2025-08-11 02:29:30 |     INFO | utils.logging_utils | setup_wandb:147 | ✅ W&B initialized: structformer-flax/run-babylm-poincare
2025-08-11 02:29:30 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X HEAD -H 'Accept: */*' -H 'Accept-Encoding: identity' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: unknown/None; hf_hub/0.34.4; python/3.10.12; torch/2.8.0' https://huggingface.co/datasets/bendemonium/babylm25-bpe-tokens/resolve/main/train_tokenized.pkl
2025-08-11 02:29:30 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request 195774a9-4fd5-4ad6-bc4d-85b6c56c1116: HEAD https://huggingface.co/datasets/bendemonium/babylm25-bpe-tokens/resolve/main/train_tokenized.pkl (authenticated: True)
2025-08-11 02:29:30 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /datasets/bendemonium/babylm25-bpe-tokens/resolve/main/train_tokenized.pkl HTTP/1.1" 404 0
2025-08-11 02:29:31 |    DEBUG | jax._src.xla_bridge | _clear_backends:808 | Clearing JAX backend caches.
2025-08-11 02:32:08 |     INFO | structformer_training | setup_logging:107 | ✅ Logging setup complete. Logs: logs/structformer_run/training.log
2025-08-11 02:32:08 |    DEBUG | git.util | is_cygwin_git:494 | sys.platform='linux', git_executable='git'
2025-08-11 02:32:08 |    DEBUG | git.cmd | execute:1270 | Popen(['git', 'rev-parse', '--show-toplevel'], cwd=/home/ubuntu/babylm-poincare-structformer, stdin=None, shell=False, universal_newlines=False)
2025-08-11 02:32:08 |    DEBUG | urllib3.connectionpool | _new_conn:1049 | Starting new HTTPS connection (1): api.wandb.ai:443
2025-08-11 02:32:08 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2025-08-11 02:32:09 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2025-08-11 02:32:09 |    DEBUG | git.util | is_cygwin_git:494 | sys.platform='linux', git_executable='git'
2025-08-11 02:32:09 |    DEBUG | git.cmd | execute:1270 | Popen(['git', 'cat-file', '--batch-check'], cwd=/home/ubuntu/babylm-poincare-structformer, stdin=<valid stream>, shell=False, universal_newlines=False)
2025-08-11 02:32:09 |     INFO | utils.logging_utils | setup_wandb:147 | ✅ W&B initialized: structformer-flax/run-babylm-poincare
2025-08-11 02:32:09 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X HEAD -H 'Accept: */*' -H 'Accept-Encoding: identity' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: unknown/None; hf_hub/0.34.4; python/3.10.12; torch/2.8.0' https://huggingface.co/datasets/bendemonium/babylm25-bpe-tokens/resolve/main/train_tokenized.pkl
2025-08-11 02:32:09 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request c3254509-0352-4713-a256-6e886d45c1b8: HEAD https://huggingface.co/datasets/bendemonium/babylm25-bpe-tokens/resolve/main/train_tokenized.pkl (authenticated: True)
2025-08-11 02:32:09 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /datasets/bendemonium/babylm25-bpe-tokens/resolve/main/train_tokenized.pkl HTTP/1.1" 404 0
2025-08-11 02:32:10 |    DEBUG | jax._src.xla_bridge | _clear_backends:808 | Clearing JAX backend caches.
2025-08-11 02:40:01 |     INFO | structformer_training | setup_logging:107 | ✅ Logging setup complete. Logs: logs/structformer_run/training.log
2025-08-11 02:40:01 |    DEBUG | git.util | is_cygwin_git:494 | sys.platform='linux', git_executable='git'
2025-08-11 02:40:01 |    DEBUG | git.cmd | execute:1270 | Popen(['git', 'rev-parse', '--show-toplevel'], cwd=/home/ubuntu/babylm-poincare-structformer, stdin=None, shell=False, universal_newlines=False)
2025-08-11 02:40:01 |    DEBUG | urllib3.connectionpool | _new_conn:1049 | Starting new HTTPS connection (1): api.wandb.ai:443
